Year,Connection_Type,Edge_Count
2023,Apparel & Footwear - Apparel & Footwear,8
2023,Apparel & Footwear - Food & Beverages,6
2023,Apparel & Footwear - Personal Care,3
2023,Food & Beverages - Food & Beverages,6
2023,Food & Beverages - Personal Care,2
2023,Transport & Communication - Transport & Communication,1
2024,Apparel & Footwear - Apparel & Footwear,1
2024,Apparel & Footwear - Food & Beverages,2
2024,Food & Beverages - Food & Beverages,3
2024,Household Equipment - Housing Water & Energy,2
2025,Apparel & Footwear - Apparel & Footwear,1
2025,Food & Beverages - Food & Beverages,5
2025,Transport & Communication - Transport & Communication,1
