Item,City,Price,Month,Year,Category
Wheat Flour Bag,Islamabad,2945.03,4,2023,Food & Beverages
Rice Basmati Broken (Average Qualit,Islamabad,200.6,4,2023,Food & Beverages
Rice IRRI-6/9 (Sindh/Punjab),Islamabad,131.36,4,2023,Food & Beverages
Bread plain (Small Size),Islamabad,108.77,4,2023,Food & Beverages
Beef with Bone (Average Quality),Islamabad,862.88,4,2023,Food & Beverages
Mutton (Average Quality),Islamabad,1772.16,4,2023,Food & Beverages
Chicken Farm Broiler (Live),Islamabad,386.29,4,2023,Food & Beverages
Milk fresh (Un-boiled),Islamabad,196.56,4,2023,Food & Beverages
Curd (Dahi) Loose,Islamabad,212.5,4,2023,Food & Beverages
Powdered Milk NIDO 390 gm Polybag,Islamabad,698.31,4,2023,Food & Beverages
Eggs Hen (Farm),Islamabad,272.46,4,2023,Food & Beverages
Mustard Oil (Average Quality),Islamabad,697.21,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB 2.5 kg,Islamabad,1550.0,4,2023,Food & Beverages
Bananas (Kela) Local,Islamabad,417.25,4,2023,Food & Beverages
Pulse Masoor (Washed),Islamabad,299.81,4,2023,Food & Beverages
Pulse Moong (Washed),Islamabad,298.06,4,2023,Food & Beverages
Pulse Mash (Washed),Islamabad,455.66,4,2023,Food & Beverages
Pulse Gram,Islamabad,274.97,4,2023,Food & Beverages
Potatoes,Islamabad,88.93,4,2023,Food & Beverages
Onions,Islamabad,116.48,4,2023,Food & Beverages
Tomatoes,Islamabad,90.41,4,2023,Food & Beverages
Sugar Refined,Islamabad,127.2,4,2023,Food & Beverages
Gur (Average Quality),Islamabad,166.52,4,2023,Food & Beverages
Chilies Powder NATIONAL 200 gm Pa,Islamabad,215.0,4,2023,Food & Beverages
Garlic (Lehsun),Islamabad,445.98,4,2023,Food & Beverages
Tea Lipton Yellow Label 190 gm Pack,Islamabad,558.82,4,2023,Food & Beverages
Cooked Beef at Average Hotel,Islamabad,229.02,4,2023,Food & Beverages
Cooked Daal at Average Hotel,Islamabad,167.12,4,2023,Food & Beverages
Tea Prepared Ordinary,Islamabad,50.0,4,2023,Food & Beverages
Cigarettes Capstan 20'S Packet,Islamabad,220.0,4,2023,Miscellaneous
"Long Cloth 57"" Gul Ahmed/Al Karam",Islamabad,511.38,4,2023,Apparel & Footwear
Shirting (Average Quality),Islamabad,517.27,4,2023,Apparel & Footwear
Lawn Printed Gul Ahmed/Al Karam,Islamabad,428.65,4,2023,Apparel & Footwear
Georgette (Average Quality),Islamabad,306.85,4,2023,Apparel & Footwear
Gents Sandal Bata,Islamabad,1499.0,4,2023,Apparel & Footwear
Gents Sponge Chappal Bata,Islamabad,379.0,4,2023,Apparel & Footwear
Ladies Sandal Bata,Islamabad,699.0,4,2023,Apparel & Footwear
Electricity Charges upto 50 Units,Islamabad,6.23,4,2023,Housing Water & Energy
