Year,Item,Weighted_Degree,Weighted_Closeness,Weighted_Betweenness
2023,Gents Sponge Chappal Bata,3.3466140751917797,0.129758215756934,0.0018115942028985507
2023,Ladies Sandal Bata,3.3466140751917797,0.129758215756934,0.0018115942028985507
2023,Rice Basmati Broken (Average Quality,3.24130181132897,0.12705882845174396,0.0
2023,Gents Sandal Bata,2.6310323175327897,0.10258357787743083,0.0
2023,Lawn Printed Gul Ahmed/Al Karam,2.375650602677009,0.10393141558533849,0.018115942028985508
2023,Shirting (Average Quality),2.0625765326998917,0.10612596591355312,0.03985507246376812
2023,Toilet Soap LIFEBUOY 115 gm,1.5387917618267992,0.07470332213214996,0.0
2023,Georgette (Average Quality),1.4089283855466965,0.08582804817678041,0.010869565217391304
2023,Wheat Flour Bag,1.2918928957869849,0.07155306381512838,0.0036231884057971015
2023,Beef with Bone (Average Quality),1.273260094657151,0.07620402787807373,0.021739130434782608
2023,"Long Cloth 57"" Gul Ahmed/Al Karam",1.0424302174379227,0.0802360990428686,0.0
2023,Hi-Speed Diesel,0.8956570111140275,0.037319042129751144,0.0
2023,Petrol Super,0.8956570111140275,0.037319042129751144,0.0
2023,Sufi Washing Soap 250 gm Cake,0.8848540263531122,0.06681989759064513,0.0
2023,Curd (Dahi) Loose,0.8605125154049728,0.03585468814187386,0.0
2023,Milk fresh (Un-boiled),0.8605125154049728,0.03585468814187386,0.0
2023,Mutton (Average Quality),0.7437368648602672,0.05856847914479894,0.0
2023,Cooking Oil DALDA or Other Similar,0.6748133090714028,0.028117221211308448,0.0
2023,Vegetable Ghee DALDA/HABIB or Ot,0.6748133090714028,0.028117221211308448,0.0
2023,Pulse Masoor (Washed),0.6346054004437505,0.026441891685156267,0.0
2023,Pulse Moong (Washed),0.6346054004437505,0.026441891685156267,0.0
2023,Cooking Oil DALDA or Other Similar B,0.554957796116912,0.02312324150487133,0.0
2023,Vegetable Ghee DALDA/HABIB or Oth,0.554957796116912,0.02312324150487133,0.0
2023,Cooked Beef at Average Hotel,0.508811744186624,0.02120048934110933,0.0
2023,Cooked Daal at Average Hotel,0.508811744186624,0.02120048934110933,0.0
2024,Ladies Sandal Bata,1.5077195248009951,0.1365200947265254,0.0
2024,Vegetable Ghee DALDA/HABIB 2.5 kg,1.4863358215542664,0.13429154651226757,0.0
2024,Vegetable Ghee DALDA/HABIB or Ot,1.3912357182386659,0.12644609494672604,0.0
2024,Beef with Bone (Average Quality),0.7461861094342344,0.06783510085765768,0.0
2024,Mutton (Average Quality),0.7461861094342344,0.06783510085765768,0.0
2024,Gas Charges upto 3.3719 MMBTU,0.6358629772101071,0.05762492443976061,0.01818181818181818
2024,Curd (Dahi) Loose,0.5618027728214705,0.051072979347406414,0.0
2024,Milk fresh (Un-boiled),0.5618027728214705,0.051072979347406414,0.0
2024,Lawn Printed Gul Ahmed/Al Karam,0.4462023502102384,0.040563850019112585,0.0
2024,"Long Cloth 57"" Gul Ahmed/Al Karam",0.4462023502102384,0.040563850019112585,0.0
2024,Match Box,0.3357121635992087,0.039146384780970205,0.0
2024,Energy Saver Philips 14 Watt,0.3001508136108984,0.037713558608808644,0.0
2025,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,1.799198618523321,0.18560302634093656,0.05555555555555555
2025,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",1.1167280450901296,0.1447535803865468,0.0
2025,Hi-Speed Diesel,0.8599315267823188,0.09554794742025764,0.0
2025,Petrol Super,0.8599315267823188,0.09554794742025764,0.0
2025,Chilies Powder NATIONAL 200 gm Packet,0.7654234382742391,0.10773515795271418,0.0
2025,Vegetable Ghee DALDA/HABIB or Other superior Quality 1 kg Pouch,0.6557868979679431,0.11851691174761327,0.0
2025,Lawn Printed Gul Ahmed/Al Karam,0.4650941788777379,0.05167713098641532,0.0
2025,"Long Cloth 57"" Gul Ahmed/Al Karam",0.4650941788777379,0.05167713098641532,0.0
2025,Curd (Dahi) Loose,0.4055208347004252,0.045057870522269464,0.0
2025,Milk fresh (Un-boiled),0.4055208347004252,0.045057870522269464,0.0
